Registration cost,Travel and lodging costs,Time/expense associated with travel visas or other international travel constraints,Availability of outside funding,Time commitment,Meeting location convenience,Meeting location desirability,Time of year,Keynote speakers or other distinguished scientists,Attendance of others from your institution,Meeting theme and science focus,Special session topic and invitation to present,Networking opportunities,Conflict with other travel plans,Other personal or family events and commitments
Extremely important,Extremely important,Not important,Extremely important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,NA,NA
Not important,Extremely important,Not important,Extremely important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,NA,NA
Very important,Very important,Not important,Extremely important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
Important,Very important,Important,Important,Extremely important,Important,Important,Very important,Important,Very important,Important,Very important,Important,Important,Very important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Important,Important,Somewhat important,Very important,Important,Important,Very important,Somewhat important,Somewhat important,Important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Extremely important,Extremely important,Not important,Extremely important,Extremely important,Extremely important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Very important
Very important,Very important,Not important,Extremely important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Important,Somewhat important,Important
Not important,Not important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Somewhat important,Somewhat important
Important,Important,Not important,Extremely important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Extremely important,Extremely important,Very important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Extremely important,Extremely important
Not important,Not important,Not important,Very important,Not important,Not important,Not important,Extremely important,Not important,Not important,Not important,Not important,Not important,Extremely important,Extremely important
Extremely important,Extremely important,Not important,Extremely important,Not important,Extremely important,Important,Extremely important,Not important,Very important,Important,Important,Important,Extremely important,Not important
Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Not important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not important,Not important,Not important,Not important,Extremely important,Not important,Not important,Extremely important,Not important,Not important,Not important,Not important,Not important,Extremely important,Not important
Very important,Very important,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Very important,Not important,Not important,Not important
Not important,Important,Not important,Important,Not important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Important,Very important
Important,Very important,Extremely important,Extremely important,Very important,Extremely important,Important,Extremely important,Not important,Important,Not important,Somewhat important,Not important,Extremely important,Extremely important
Somewhat important,Somewhat important,Don't know/Unsure,Somewhat important,Extremely important,Extremely important,Somewhat important,Extremely important,Somewhat important,Not important,Not important,Extremely important,Somewhat important,Extremely important,Extremely important
