Work with the Education and DIversity Committee on initiatives specifically for Early Career members,"Provide workshops or networking activities focused on diversity, representation, and inclusivity in STEM fields",Actively promote the work/contributions of minoritized EC members,Provide travel grants to members who have to travel internationally to attend an SFS meeting
Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Extremely important,Very important,Extremely important
Extremely important,Extremely important,Extremely important,Very important
Very important,Very important,Extremely important,Extremely important
Extremely important,Very important,Extremely important,Extremely important
Very important,Very important,Extremely important,Extremely important
Important,Important,Somewhat important,Important
Extremely important,Very important,Very important,Important
Don't know/Unsure,Extremely important,Extremely important,Important
Somewhat important,Somewhat important,Somewhat important,Somewhat important
Extremely important,Extremely important,Extremely important,Extremely important
Important,Very important,Very important,Extremely important
Very important,Very important,Extremely important,Very important
Very important,Extremely important,Very important,Very important
Extremely important,Extremely important,Extremely important,Extremely important
Important,Very important,Very important,Extremely important
Very important,Not important,Somewhat important,Somewhat important
Important,Important,Important,Important
NA,NA,NA,NA
Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Important,Very important,Very important
Extremely important,Very important,Extremely important,Extremely important
Important,Very important,Very important,Very important
Important,Very important,Important,Very important
Important,Important,Very important,Important
Important,Very important,Extremely important,Extremely important
Very important,Important,Very important,Very important
Very important,Very important,Very important,Extremely important
Very important,Extremely important,Extremely important,Extremely important
Extremely important,Extremely important,Extremely important,Very important
Very important,Very important,Very important,Somewhat important
Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Very important,Very important,Extremely important
Important,Important,Very important,Extremely important
Very important,Very important,Extremely important,Extremely important
Important,Extremely important,Extremely important,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important
Important,Important,Important,Important
Very important,Very important,Very important,Extremely important
Extremely important,Very important,Extremely important,Very important
Somewhat important,Important,Extremely important,Important
Extremely important,Extremely important,Extremely important,Extremely important
Very important,Extremely important,Extremely important,Important
Extremely important,Extremely important,Extremely important,Extremely important
Not important,Not important,Not important,Very important
Extremely important,Extremely important,Extremely important,Extremely important
Very important,Extremely important,Extremely important,Important
Extremely important,Extremely important,Very important,Extremely important
Important,Important,Important,Important
Extremely important,Extremely important,Extremely important,Extremely important
NA,NA,NA,NA
Extremely important,Extremely important,Extremely important,Extremely important
Important,Important,Extremely important,Very important
Very important,Important,Important,Somewhat important
Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure
Important,Important,Extremely important,Extremely important
Very important,Very important,Very important,Very important
Somewhat important,Somewhat important,Extremely important,Very important
Very important,Important,Extremely important,Extremely important
Extremely important,Very important,Very important,Extremely important
Extremely important,Extremely important,Very important,Very important
Important,Important,Extremely important,Very important
Very important,Extremely important,Extremely important,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important
Very important,Important,Important,Extremely important
Very important,Extremely important,Very important,Very important
Very important,Somewhat important,Very important,Extremely important
Extremely important,Not important,Very important,Important
Very important,Important,Very important,Very important
Extremely important,Very important,Extremely important,Extremely important
Important,Very important,Very important,Very important
Important,Important,Important,Very important
Extremely important,Extremely important,Extremely important,Extremely important
Don't know/Unsure,Don't know/Unsure,Extremely important,Extremely important
Important,Very important,Extremely important,Extremely important
Very important,Very important,Extremely important,Extremely important
Extremely important,Important,Extremely important,Extremely important
Extremely important,Important,Important,Very important
Very important,Very important,Very important,Very important
Extremely important,Very important,Extremely important,Extremely important
Very important,Very important,Very important,Very important
Very important,Very important,Very important,Very important
Don't know/Unsure,Don't know/Unsure,Very important,Very important
Extremely important,Very important,Extremely important,Important
Extremely important,Extremely important,Extremely important,Extremely important
Very important,Extremely important,Very important,Extremely important
Very important,Extremely important,Very important,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important
Very important,Very important,Very important,Extremely important
Extremely important,Very important,Extremely important,Extremely important
Extremely important,Important,Extremely important,Extremely important
Very important,Very important,NA,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Extremely important,Very important,Extremely important
Important,Important,Important,Very important
Important,Important,Very important,Extremely important
Very important,Very important,Extremely important,Extremely important
Extremely important,Somewhat important,Extremely important,Very important
