Grant writing,Mentoring training and mentoring graduate and undergraduate students,Lab personnel management,Teaching,Negotiation,Tenure process,Stakeholder engagement and participatory research,The publishing and peer-review process,Family and work balance,Workplace gender equality,Equal opportunity,Power and privilege,Diversity equity and inclusivity in the workplace,Building an inclusive workplace
Unlikely to participate,Likely to participate,Likely to participate,Unlikely to participate,Will definitely participate,Unlikely to participate,Might participate,Unlikely to participate,Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Unlikely to participate,Might participate,Likely to participate,Might participate,Will definitely participate,Likely to participate,Likely to participate,Unlikely to participate,Will not participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate
Likely to participate,Will definitely participate,Might participate,Unlikely to participate,Will not participate,Unlikely to participate,Might participate,Will not participate,Unlikely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate,Will definitely participate
Might participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate,Will definitely participate,Likely to participate,Might participate,Will definitely participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate
Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Unlikely to participate,Likely to participate,Unlikely to participate,Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate
Likely to participate,Likely to participate,Likely to participate,Likely to participate,Unlikely to participate,Likely to participate,Likely to participate,Unlikely to participate,Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate
Unlikely to participate,Might participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Might participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Might participate,Might participate,Might participate,Might participate
Unlikely to participate,Might participate,Might participate,Might participate,Unlikely to participate,Unlikely to participate,Might participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Might participate,Might participate
Will definitely participate,Will definitely participate,Likely to participate,Will definitely participate,Likely to participate,Will definitely participate,Likely to participate,Likely to participate,Might participate,Might participate,Likely to participate,Will definitely participate,Likely to participate,Might participate
Unlikely to participate,Unlikely to participate,Might participate,Unlikely to participate,Unlikely to participate,Might participate,Unlikely to participate,Unlikely to participate,Might participate,Unlikely to participate,Unlikely to participate,Might participate,Might participate,Might participate
Might participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Might participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Likely to participate,Likely to participate,Unlikely to participate,Will definitely participate,Likely to participate,Unlikely to participate,Will definitely participate,Likely to participate,Might participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure
Will definitely participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate,Might participate,Will definitely participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Likely to participate,Will definitely participate,Likely to participate,Likely to participate,Will definitely participate,Might participate,Might participate,Might participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate
Might participate,Likely to participate,Might participate,Likely to participate,Likely to participate,Don't know/Unsure,Might participate,Likely to participate,Will not participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Will not participate,Will not participate,Will definitely participate,Will not participate,Will not participate,Will definitely participate,Likely to participate,Will not participate,Will definitely participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Unlikely to participate,Might participate,Likely to participate,Unlikely to participate,Will not participate,Will not participate,Likely to participate,Will not participate,Will not participate,Will not participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Likely to participate,Likely to participate,Will not participate,Will not participate,Will not participate,Will not participate,Unlikely to participate,Will definitely participate,Will not participate,Will not participate,Will not participate,Will not participate,Will not participate,Will not participate
Likely to participate,Unlikely to participate,Unlikely to participate,Might participate,Likely to participate,Will not participate,Likely to participate,Likely to participate,Will not participate,Will not participate,Will not participate,Will not participate,Likely to participate,Likely to participate
Will definitely participate,Likely to participate,Likely to participate,Will not participate,Will definitely participate,Will not participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate
Unlikely to participate,Likely to participate,Will definitely participate,Will not participate,Will not participate,Likely to participate,Likely to participate,Will not participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate,Will definitely participate,Will definitely participate
Likely to participate,Will definitely participate,Might participate,Might participate,Might participate,Unlikely to participate,Likely to participate,Unlikely to participate,Might participate,Might participate,Might participate,Might participate,Might participate,Likely to participate
Likely to participate,Likely to participate,Might participate,Likely to participate,Will definitely participate,Might participate,Likely to participate,Likely to participate,Unlikely to participate,Might participate,Might participate,Might participate,Might participate,Likely to participate
Might participate,Might participate,Might participate,Might participate,Might participate,Might participate,Might participate,Unlikely to participate,Might participate,Might participate,Might participate,Might participate,Might participate,Might participate
Likely to participate,Likely to participate,Might participate,Will not participate,Might participate,Will not participate,Likely to participate,Might participate,Might participate,Will definitely participate,Might participate,Will definitely participate,Will definitely participate,Will definitely participate
NA,Likely to participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Might participate,Unlikely to participate,Will definitely participate,Unlikely to participate,Might participate,Might participate,NA,Might participate,Might participate
Will definitely participate,Might participate,Unlikely to participate,Likely to participate,Might participate,Will definitely participate,Might participate,Will definitely participate,Will not participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Will not participate,Might participate,Might participate,Likely to participate,Unlikely to participate,Likely to participate,Will not participate,Will not participate,Will not participate,Might participate,Likely to participate,Will not participate,Will definitely participate,Will definitely participate
Might participate,Likely to participate,Will not participate,Will not participate,Will not participate,Will not participate,Might participate,Might participate,Might participate,Will definitely participate,Will definitely participate,Will definitely participate,Don't know/Unsure,Don't know/Unsure
Might participate,Will definitely participate,Might participate,Will definitely participate,Unlikely to participate,Unlikely to participate,Likely to participate,Unlikely to participate,Unlikely to participate,Will definitely participate,Might participate,Will definitely participate,Will definitely participate,Likely to participate
Will definitely participate,Will definitely participate,Will definitely participate,Likely to participate,Might participate,Might participate,Will definitely participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate
Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Unlikely to participate,Unlikely to participate,Might participate,Unlikely to participate,Might participate,Will not participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Likely to participate,Will definitely participate,Will definitely participate,Will not participate,Unlikely to participate,Will definitely participate,Will definitely participate,Will not participate,Will not participate,Unlikely to participate,Will not participate,Unlikely to participate,Might participate,Likely to participate
Unlikely to participate,Likely to participate,Unlikely to participate,Likely to participate,Likely to participate,Will not participate,Unlikely to participate,Will not participate,Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Might participate,Likely to participate,Might participate,Likely to participate,Might participate,Might participate,Likely to participate,Might participate,Might participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Will definitely participate,Likely to participate,Likely to participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Might participate,Might participate,Will definitely participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Likely to participate,Unlikely to participate,Unlikely to participate,Might participate,Will definitely participate,Unlikely to participate,Unlikely to participate,Likely to participate,Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Will definitely participate
Likely to participate,Might participate,Unlikely to participate,Unlikely to participate,Might participate,Will not participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Unlikely to participate,Will not participate,Unlikely to participate,Unlikely to participate
Might participate,Likely to participate,Likely to participate,Might participate,Unlikely to participate,Will definitely participate,Might participate,Unlikely to participate,Likely to participate,Unlikely to participate,Likely to participate,Might participate,Likely to participate,Will definitely participate
Likely to participate,Might participate,Might participate,Might participate,Might participate,Might participate,Likely to participate,Unlikely to participate,Unlikely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate,Likely to participate
Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure
Likely to participate,Likely to participate,Will definitely participate,Will definitely participate,Will definitely participate,Likely to participate,Will definitely participate,Might participate,Likely to participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate
Likely to participate,Will definitely participate,Will definitely participate,Likely to participate,Likely to participate,Unlikely to participate,Will definitely participate,Might participate,Unlikely to participate,Will not participate,Will not participate,Unlikely to participate,Will not participate,Might participate
Likely to participate,Will definitely participate,Will not participate,Will definitely participate,Will not participate,Will not participate,Will definitely participate,Might participate,Might participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate,Will definitely participate
